,PROFILEMENTION_1,COMPANYMENTION_1,POLL_1,CONTENT_Document,CONTENT_Image,CONTENT_Poll,CONTENT_Text,CONTENT_Video (external),CONTENT_Video (native),LINKS_1,LINKS_2,TAGS_1-5,TAGS_6 and more,EMOJIS_1,CHARACTER_COUNT,AGE_IN_DAYS,ENGAGEMENT
119,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,9.848857801796104,1
120,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,9.848857801796104,0
121,0,0,0,0,0,0,1,0,0,0,0,1,0,0,27.349588662354687,9.848857801796104,32
122,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5.291502622129181,9.848857801796104,1
123,0,1,0,0,0,0,1,0,0,0,0,0,0,0,14.89966442575134,9.899494936611665,0
124,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9.055385138137417,9.899494936611665,7
125,0,0,0,0,0,0,0,0,1,0,0,0,1,0,42.13074886588179,10.04987562112089,10
126,0,0,0,0,0,0,1,0,0,0,0,0,0,1,30.54504869860253,10.04987562112089,0
127,0,0,0,0,1,0,0,0,0,1,0,0,1,0,26.43860813280457,10.099504938362077,86
128,0,0,0,0,1,0,0,0,0,0,1,0,1,0,22.627416997969522,10.14889156509222,12
129,0,0,0,0,1,0,0,0,0,0,0,0,1,0,38.17066936798463,10.198039027185569,8
130,0,0,0,0,0,0,1,0,0,0,0,1,0,1,33.25657829663178,10.198039027185569,0
131,0,0,0,0,1,0,0,0,0,0,0,0,1,0,37.013511046643494,10.246950765959598,22
132,0,0,0,0,1,0,0,0,0,0,0,0,1,0,33.555923471125034,10.392304845413264,9
133,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,10.44030650891055,2
134,0,0,0,0,1,0,0,0,0,0,0,0,1,0,33.74907406137241,10.44030650891055,12
135,0,0,0,0,1,0,0,0,0,0,0,1,0,1,23.748684174075834,10.44030650891055,0
136,1,1,0,1,0,0,0,0,0,0,0,1,0,1,54.0,10.488088481701515,0
137,0,0,0,0,1,0,0,0,0,0,0,0,1,0,30.066592756745816,10.488088481701515,30
138,0,0,0,1,0,0,0,0,0,1,0,0,0,0,15.198684153570664,10.488088481701515,0
139,0,1,0,1,0,0,0,0,0,0,0,1,0,0,44.034077712607996,10.488088481701515,0
140,0,0,0,0,1,0,0,0,0,1,0,0,1,0,25.25866188063018,10.535653752852738,154
141,0,0,0,0,1,0,0,0,0,0,0,0,1,0,32.64965543462902,10.583005244258363,11
142,0,1,0,0,0,0,1,0,0,0,0,0,0,1,33.97057550292606,13.114877048604,0
143,0,0,0,0,1,0,0,0,0,0,0,0,1,0,33.555923471125034,13.601470508735444,9
144,1,0,0,0,0,0,1,0,0,0,0,1,0,1,41.96427051671457,13.638181696985855,0
145,0,0,0,0,1,0,0,0,0,0,0,0,1,0,25.514701644346147,13.674794331177344,21
146,0,0,0,0,0,0,1,0,0,0,0,0,1,0,22.271057451320086,13.711309200802088,3
147,0,0,0,0,0,0,0,0,1,0,0,0,1,0,29.103264421710495,13.856406460551018,11
148,0,0,0,0,1,0,0,0,0,0,0,1,0,0,18.466185312619388,13.96424004376894,13
149,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,13.96424004376894,3
150,0,0,0,0,0,0,1,0,0,1,0,0,0,0,19.595917942265423,0.0,120
151,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11.445523142259598,0.0,2878
152,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12.449899597988733,1.0,4021
153,0,0,0,0,0,0,1,0,0,1,0,0,0,0,28.982753492378876,1.4142135623730951,3142
154,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19.519221295943137,1.7320508075688772,4122
155,0,0,0,0,0,0,1,0,0,1,0,0,0,0,32.43454948045371,1.7320508075688772,2463
156,0,0,0,0,0,0,1,0,0,0,0,0,0,1,47.75981574503821,2.0,2844
157,0,0,0,0,0,0,1,0,0,1,0,0,0,0,15.684387141358123,2.0,3286
158,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9.273618495495704,2.0,2781
159,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6.782329983125268,2.23606797749979,2695
160,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.916079783099616,2.23606797749979,4033
161,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12.727922061357855,2.449489742783178,4564
162,0,0,0,0,0,0,1,0,0,1,0,0,0,0,28.089143810376278,2.449489742783178,3179
163,0,0,0,0,0,0,1,0,0,0,0,0,0,0,16.3707055437449,2.6457513110645907,6544
164,0,0,0,0,0,0,1,0,0,1,0,0,0,0,16.0312195418814,2.6457513110645907,4677
165,0,0,0,0,0,0,1,0,0,0,0,0,0,0,22.40535650240808,2.8284271247461903,4530
166,0,0,0,0,0,0,1,0,0,1,0,0,0,0,43.58898943540674,3.0,3846
167,0,0,0,0,0,0,1,0,0,1,0,0,0,0,24.677925358506133,3.1622776601683795,3841
168,0,0,0,0,0,0,1,0,0,1,0,0,0,0,11.40175425099138,3.3166247903554,2189
169,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6.782329983125268,3.3166247903554,6367
170,0,0,0,0,0,0,1,0,0,1,0,0,0,0,18.138357147217054,3.4641016151377544,2338
